"stem","a","b","c","d","answer","explanation"
"Synthetic review-row 86: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 87: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 88: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 89: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 90: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 91: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 92: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 93: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 94: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 95: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 96: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 97: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 98: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 99: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 100: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 101: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 102: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 103: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 104: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 105: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 106: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 107: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 108: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 109: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 110: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 111: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 112: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 113: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 114: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 115: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 116: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 117: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 118: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 119: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 120: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 121: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 122: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 123: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 124: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 125: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 126: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 127: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 128: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 129: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 130: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 131: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 132: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 133: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 134: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 135: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 136: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 137: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 138: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 139: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 140: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 141: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 142: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 143: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 144: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 145: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 146: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 147: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 148: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 149: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 150: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 151: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 152: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 153: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 154: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 155: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 156: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 157: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 158: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 159: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 160: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 161: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 162: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 163: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 164: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 165: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 166: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 167: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 168: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 169: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
"Synthetic review-row 170: a charterholder faces a professionalism fact pattern that requires identifying the correct Standard and the first required action in the circumstance described here.","Dissociate and escalate internally under the Code","Ignore the fact pattern because it is only a teaching case","Guarantee the client a specific investment outcome","Share the exam question with a colleague","A","This synthetic row exists so the review table can be virtualized; the explanation is long enough to avoid a weak-explanation warning."
